Timestamp,body,@requestId,requestContext.requestId,ColdStartDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2023-04-11 04:02:36.735,,2306c12f-1108-41e9-bdd8-5a466c11f880,,108.83,1.41,2.0,128,36
2023-04-11 04:03:12.411,,eeeb403e-4f8b-4d93-b703-51cf95bb721e,,,1.1,2.0,128,37
2023-04-11 04:03:13.330,,58147f4e-e24a-4390-8958-7b9bae85748f,,,1.02,2.0,128,37
2023-04-11 04:03:13.879,,510b8978-a2d6-43a9-a85e-b7a2e64befad,,,1.17,2.0,128,37
2023-04-11 04:06:05.183,,5cb91ccb-0c8f-4445-98e7-9f72a34bf902,,193.71,84.77,85.0,128,52
2023-04-11 04:19:26.227,dHBzPTE=,,adaabd12-22d3-4be4-906d-8988fef5e0ef,,,,,
2023-04-11 04:19:26.288,,adaabd12-22d3-4be4-906d-8988fef5e0ef,,212.51,62.28,63.0,128,52
2023-04-11 04:21:05.289,dHBzPTEmaW50ZXJ2YWw9MQ==,,ab37f321-c05b-44a3-bfed-d0bd04453152,,,,,
2023-04-11 04:21:05.329,,ab37f321-c05b-44a3-bfed-d0bd04453152,,,44.59,45.0,128,52
2023-04-11 04:28:58.249,dHBzPTEmaW50ZXJ2YWw9MQ==,,09b28367-a851-4919-8fe4-e590c50ae640,,,,,
2023-04-11 04:28:58.326,,09b28367-a851-4919-8fe4-e590c50ae640,,185.92,77.23,78.0,128,52
2023-04-11 04:37:05.130,,832b5580-393c-407c-bd26-585df4bf7ac7,,187.31,75.34,76.0,128,52
2023-04-11 04:45:23.517,dHBzPTEmaW50ZXJ2YWw9MQ==,,0d899a4f-9591-433c-a7aa-f7a17fe39ee3,,,,,
2023-04-11 04:45:23.598,,0d899a4f-9591-433c-a7aa-f7a17fe39ee3,,189.44,87.82,88.0,128,52
2023-04-11 04:50:47.644,dHBzPTEmaW50ZXJ2YWw9NQ==,,75bf1379-38d0-40cb-a2fb-8d7e832ac286,,,,,
2023-04-11 04:50:47.705,,75bf1379-38d0-40cb-a2fb-8d7e832ac286,,,79.85,80.0,128,53
2023-04-11 04:50:52.839,dHBzPTEmaW50ZXJ2YWw9NQ==,,295fe8bb-4753-48a0-8328-a7fff1b6cb1a,,,,,
2023-04-11 04:50:52.844,,295fe8bb-4753-48a0-8328-a7fff1b6cb1a,,,6.14,7.0,128,53
2023-04-11 04:50:58.021,dHBzPTEmaW50ZXJ2YWw9NQ==,,b74d1281-f2a3-4e57-ba87-f39a78d65b4c,,,,,
2023-04-11 04:50:58.024,,b74d1281-f2a3-4e57-ba87-f39a78d65b4c,,,3.98,4.0,128,53
2023-04-11 04:51:03.241,dHBzPTEmaW50ZXJ2YWw9NQ==,,c3252ef8-7875-4250-a493-d77b89c9e8e2,,,,,
2023-04-11 04:51:03.264,,c3252ef8-7875-4250-a493-d77b89c9e8e2,,,23.32,24.0,128,53
2023-04-11 04:51:08.733,dHBzPTEmaW50ZXJ2YWw9NQ==,,62ddb8cd-d426-41f0-9386-138dcb17932b,,,,,
2023-04-11 04:51:08.799,,62ddb8cd-d426-41f0-9386-138dcb17932b,,,66.39,67.0,128,53
2023-04-11 04:51:13.928,dHBzPTMmaW50ZXJ2YWw9MQ==,,39849ebe-f290-45bd-9c1d-8d117ad1df98,,,,,
2023-04-11 04:51:13.944,,39849ebe-f290-45bd-9c1d-8d117ad1df98,,,16.41,17.0,128,53
2023-04-11 04:51:13.949,dHBzPTMmaW50ZXJ2YWw9MQ==,,0fb15b39-1f9a-4353-a1c1-cbbc6e78548f,,,,,
2023-04-11 04:51:14.004,,0fb15b39-1f9a-4353-a1c1-cbbc6e78548f,,,55.06,56.0,128,53
2023-04-11 04:51:14.354,dHBzPTMmaW50ZXJ2YWw9MQ==,,f1a07a06-aae4-41de-8830-cb87f55fc9ba,,,,,
2023-04-11 04:51:14.424,,f1a07a06-aae4-41de-8830-cb87f55fc9ba,,185.36,69.23,70.0,128,52
2023-04-11 04:51:15.536,dHBzPTMmaW50ZXJ2YWw9MQ==,,36745376-f55b-448b-bf84-fa5eb8bd2f2c,,,,,
